country_code,country_name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961
DOM,Dominican Republic,,,1.49,,,,,,,,,,,1.876,,,2.156,,1.5,,1.053900003,,,1.49000001,,1.073899984,,,,0.564400017,,,,,,,,,0.435000002,,,,,,,,,,0.588281631,,,,
DZA,Algeria,,,,1.207,,,1.207,,,,,1.13,,,,1.0,,,0.846,,0.82099998,,,0.941600025,,0.428799987,,,,0.427100003,,,,,0.380100012,,,,,,,,,0.123499997,,,,,0.116413653,,,,
EAP,East Asia & Pacific (developing only),,,,1.54416706,,,,,,,,,,1.289926265,,,,,,,,,,1.178634946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAS,East Asia & Pacific (all income levels),,,,1.627273813,,,,,,,,,,1.342859963,,,,,,,,,,1.215764355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECA,Europe & Central Asia (developing only),,,,2.608157596,,,,,,,,,,2.550516416,,,,,,,,,,2.848032486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia (all income levels),,,,3.336349947,,,,,,,,,,3.147692788,,,,,,,,,,2.964308806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,,,,1.687,1.687,,,,,,,,,1.48,1.397,,1.696,1.325,1.33,,,,,1.533200026,,,,,,1.244300008,,,,,,,0.637000024,,0.351200014,,,,,0.348399997,,,,,0.334564537,,,,
EGY,"Egypt, Arab Rep.",,,,2.83,2.83,,,,2.43,,,,,2.118,,,1.6,2.02,,1.840000033,,,,0.759500027,,,,1.303599954,,,,1.365399957,1.363800049,1.065400004,,,,,0.535899997,,,,,0.52700001,,,,,0.434788525,,,,
EMU,Euro area,,,,3.686800762,,,,,,,,,,3.459918665,,,,,,,,,,2.869674581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,,,,,,,,,,0.05,,,,,,,,0.03,,,0.0189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,Spain,,3.695,3.961,3.957,,,3.757,,,,3.3,2.9,3.1,3.2,2.9,2.8,2.9,2.8,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,,,3.261,3.343,,3.409,,3.33,,,,,3.16,4.475,3.206,3.11,3.114,3.148,3.191,3.200000048,3.20720005,3.263999939,3.53550005,3.503799915,3.490099907,3.485399961,3.483999968,3.407999992,3.350199938,,,,,2.937999964,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,,,,0.022,0.025,,0.022,,,,0.03,0.029,0.028,0.021,0.02,0.021,0.023,0.025,,0.0285,,,,,,0.0308,,,,0.0127,,,0.0113,0.0113,,,,,0.0116,,,,,0.0116,,,,,0.01424692,,,,
EUU,European Union,,,,3.391896393,,,,,,,,,,3.071227087,,,,,,,,,,2.531247441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCS,Fragile and conflict affected situations,,,,0.435862856,,,,,,,,,,0.332526585,,,,,,,,,,0.219081916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
